X,Y,ID,OBJECTID,TYPE,SOURCE,DATE_,CONTROL,LOCATION,COLOR,LADDER,Primary_St,Cross_Stre,CrossType,TOOLTIP
-118.307832642482168,34.057559122248975,3001,14046,1,1,2005-12-01T00:00:00.000Z,1,180,0,0,Oxford Av,8th St,White Controlled Crosswalk,White Controlled Crosswalk
-118.305343944626898,34.05779195712212,3002,14047,1,1,2005-12-01T00:00:00.000Z,1,0,0,0,Hobart Bl,8th St,White Controlled Crosswalk,White Controlled Crosswalk
-118.305237855313962,34.057685675968465,3003,14048,1,1,2005-12-01T00:00:00.000Z,1,90,0,0,8th St,Hobart Bl,White Controlled Crosswalk,White Controlled Crosswalk
-118.305343160948738,34.057567144133571,3004,14049,1,1,2005-12-01T00:00:00.000Z,1,180,0,0,Hobart Bl,8th St,White Controlled Crosswalk,White Controlled Crosswalk
-118.305448656865309,34.057685050143654,3005,14050,1,1,2005-12-01T00:00:00.000Z,1,270,0,0,8th St,Hobart Bl,White Controlled Crosswalk,White Controlled Crosswalk
-118.304173646831089,34.057786397140653,3006,14051,1,1,2005-12-01T00:00:00.000Z,1,0,0,0,Harvard Bl,8th St,White Controlled Crosswalk,White Controlled Crosswalk
-118.304079685778106,34.05768625360799,3007,14052,1,1,2005-12-01T00:00:00.000Z,1,90,0,0,8th St,Harvard Bl,White Controlled Crosswalk,White Controlled Crosswalk
-118.304172992591631,34.057582020648745,3008,14053,1,1,2005-12-01T00:00:00.000Z,1,180,0,0,Harvard Bl,8th St,White Controlled Crosswalk,White Controlled Crosswalk
-118.304267956459981,34.057685683866175,3009,14054,1,1,2005-12-01T00:00:00.000Z,1,270,0,0,8th St,Harvard Bl,White Controlled Crosswalk,White Controlled Crosswalk
-118.300904407229297,34.057808209842733,3010,14055,1,1,2005-12-01T00:00:00.000Z,1,0,0,0,Irolo St,8th St,White Controlled Crosswalk,White Controlled Crosswalk
-118.300817167759391,34.057705914911899,3011,14056,1,1,2005-12-01T00:00:00.000Z,1,90,0,0,8th St,Irolo St,White Controlled Crosswalk,White Controlled Crosswalk
-118.300903772191447,34.057602133016417,3012,14057,1,1,2005-12-01T00:00:00.000Z,1,180,0,0,Irolo St,8th St,White Controlled Crosswalk,White Controlled Crosswalk
-118.300997234931103,34.057704852321514,3013,14058,1,1,2005-12-01T00:00:00.000Z,1,270,0,0,8th S,Irolo St,White Controlled Crosswalk,White Controlled Crosswalk
-118.299812797248151,34.057810924687459,3014,14059,1,1,2005-12-01T00:00:00.000Z,1,0,0,0,Normandie Av,8th St,White Controlled Crosswalk,White Controlled Crosswalk
-118.299704021857764,34.057712412954388,3015,14060,1,1,2005-12-01T00:00:00.000Z,1,90,0,0,8th St,Normandie Av,White Controlled Crosswalk,White Controlled Crosswalk
-118.299812180357463,34.05760825470486,3016,14061,1,1,2005-12-01T00:00:00.000Z,1,180,0,0,Normandie Av,8th St,White Controlled Crosswalk,White Controlled Crosswalk
-118.299910690141601,34.057711195814917,3017,14062,1,1,2005-12-01T00:00:00.000Z,1,270,0,0,8th St,Normandie Av,White Controlled Crosswalk,White Controlled Crosswalk
-118.298722201528008,34.057820438227374,3018,14063,1,1,2005-12-01T00:00:00.000Z,1,0,0,0,Mariposa Av,8th St,White Controlled Crosswalk,White Controlled Crosswalk
-118.298625646399671,34.057718811159702,3019,14064,1,1,2005-12-01T00:00:00.000Z,1,90,0,0,8th St,Mariposa Av,White Controlled Crosswalk,White Controlled Crosswalk
-118.298721616112701,34.057619472964035,3020,14065,1,1,2005-12-01T00:00:00.000Z,1,180,0,0,Mariposa Av,8th St,White Controlled Crosswalk,White Controlled Crosswalk
-118.298813863219564,34.057717695611991,3021,14066,1,1,2005-12-01T00:00:00.000Z,1,270,0,0,8th St,Mariposa Av,White Controlled Crosswalk,White Controlled Crosswalk
-118.295402593569833,34.057840522666851,3022,14067,3,1,2011-09-15T00:00:00.000Z,1,0,1,0,Catalina St,8th St,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.295304585144891,34.057738461970253,3023,14068,3,1,2011-09-15T00:00:00.000Z,1,90,1,0,8th St,Catalina St,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.295401991117245,34.0576361550687,3024,14069,3,1,2011-09-15T00:00:00.000Z,1,180,1,0,Catalina St,8th St,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.295503058400328,34.057737289540761,3025,14070,3,1,2011-09-15T00:00:00.000Z,1,270,1,0,8th St,Catalina St,Yellow Controlled Crosswalk,Yellow Controlled Crosswalk
-118.292893086706911,34.057855150641451,3026,14071,1,1,2005-12-01T00:00:00.000Z,1,0,0,0,New Hampshire Av,8th St,White Controlled Crosswalk,White Controlled Crosswalk
-118.292795491336591,34.05775325099296,3027,14072,1,1,2005-12-01T00:00:00.000Z,1,90,0,0,8th St,New Hampshire Av,White Controlled Crosswalk,White Controlled Crosswalk
-118.292892494152071,34.057649074619491,3028,14073,1,1,2005-12-01T00:00:00.000Z,1,180,0,0,New Hampshire Av,8th St,White Controlled Crosswalk,White Controlled Crosswalk
-118.292985823702381,34.057752131285866,3029,14074,1,1,2005-12-01T00:00:00.000Z,1,270,0,0,8th St,New Hampshire Av,White Controlled Crosswalk,White Controlled Crosswalk
