OBJECTID,STNAME,Shape_Leng,Shape_Le_1,FROM_,TO_,GlobalID
1,CENTURY BLVD,8086.42278037,8086.42278037,VERMONT AVE,AVALON BLVD,bb3983d2-6187-447e-9496-f91f9e1e47dc
2,FIGUEROA ST,10094.7334563,1.91188133642,COLORADO BLVD,AVENUE 61,acb098aa-5d7d-480f-804f-bb4e3731d37a
3,103RD ST,5221.4309503,5221.4309503,CENTRAL AVE,"GRAPE ST
GRAPE",b6274f91-d568-49ff-91cf-5ff41e23afa4
4,MARENGO ST,1031.34609483,1031.34609483,STATE ST,CUMMINGS ST,35ea94e3-3210-4610-bd16-5d6f8e37e7ce
5,ALAMEDA ST,8611.91103571,8611.91103571,6TH ST,"ALPINE ST
ALPINE",c9633073-47a3-4057-8023-c0467de5d6eb
6,JEFFERSON BLVD,13983.9789812,13983.9789812,FARMDALE AVE,NORMANDIE AVE,6a42fb79-bf37-47cd-81a4-dca2c169b79e
7,CENTRAL AVE,1655.14943978,1655.14943978,89TH ST,MANCHESTER AVE,afe3b968-9178-4d7d-8ffe-cd627a9e8da8
8,AVENUE 26,1479.68860794,1479.68860794,FIGUEROA ST,SAN FERNANDO RD,53c12515-0647-4c02-8032-6e1722336949
9,LA BREA AVE,2178.94801162,2178.94801162,FOUNTAIN AVE,HAWTHORN AVE,c278c823-9455-43a1-8284-2552b8b41e91
10,EAGLE ROCK BLVD,8121.75969567,8121.75969567,AVENUE 41,COLORADO BLVD,535e1537-efae-45a8-8bda-4b913dd5815b
11,FLORENCE AVE,22576.0837383,22576.0837383,CRENSHAW BLVD,CENTRAL AVE,f69b0b9c-ffe7-4c3b-aa0f-05724b857c71
12,MANCHESTER AVE,17254.1583579,17254.1583579,WESTERN AVE,CENTRAL AVE,8fd9831b-f867-4c78-bc6c-9626c247364a
13,OLYMPIC BLVD,21507.9256829,21507.9256829,CRENSHAW BLVD,SPRING,4a119d54-37a7-4b4a-a136-ab9b33d0f800
14,SOTO ST,11620.1467865,11620.1467865,WABASH AVE,OLYMPIC BLVD,af3e421c-bb29-400a-8d67-aff6661ca9fb
15,RAMPART BLVD,7734.35129305,7734.35129305,7TH ST,TEMPLE ST,33aa3527-c086-4505-a7a1-e6521049fdc6
