OBJECTID,OBJECTID_1,Characteri,Street,Limit_1,Limit_2,CrossSt1,CrossSt2,Miles,DistOffice,CD,MobilityEl,Shape_Leng,GlobalID,GlobalID_2
1,1,Projects in planning,N. Figueroa St,Ave. 43,York Blvd.,N. Figueroa St & Ave. 43,N. Figueroa St & York Blvd.,2.1,C,1,"PED, BEN",0.0336248955078,d898cd9a-f56f-4dd9-a487-7ad25e4a7a3c,e04d6069-904a-48af-b80d-c71853ca5bf6
2,2,Projects in progress,Van Nuys Blvd,Beachy Ave.,San Fernando Rd.,Van Nuys Blvd & Beachy Ave.,Van Nuys Blvd & San Fernando Rd.,1.5,EV,"6 , 7","PED, BEN, TEN",0.0245959036327,4a076e27-eefa-43c6-a716-28e11bbde97f,949fbb6c-3737-4e74-9511-bebdc8599419
3,3,Projects in planning,Soto St,Wabash Ave.,8th St.,Soto St & Wabash Ave.,Soto St & 8th St.,1.9,C,14,"PED, BEN, TEN, BLN",0.0294139445825,7c5893e4-f9d1-40bb-95a0-a9019edfa281,b5c3ab84-fd22-4e71-af27-e179ad2e5ec5
4,4,Projects in planning,Avalon Blvd,San Pedro St.,120th St.,Avalon Blvd & San Pedro St.,Avalon Blvd & 120th St.,6.4,C,"8 , 9 , 15","PED, BLN",0.0916164231764,2742e28f-e180-4abe-ad2f-21b00904ba74,d09c5a7c-b08d-4a94-bff5-6631c5127347
5,5,Projects in planning,Adams Blvd,Hauser Blvd.,Crenshaw Blvd.,Adams Blvd & Hauser Blvd.,Adams Blvd & Crenshaw Blvd.,1.6,S,10,"PED, BLN",0.0276308844033,aad8c811-60a6-4937-9afd-225e2a3d40f9,31cdc35d-f32e-47a4-82c1-38a65ab2984a
6,6,Projects in planning,Pico Blvd,Western Ave.,Union Ave.,Pico Blvd & Western Ave.,Pico Blvd & Union Ave.,1.9,C,1,"PED, BLN",0.0326871091432,c01675d5-9e1f-4dd9-afff-9597c8e1536d,b287a344-d539-4529-a24a-bc7295ff37ac
7,7,Projects in planning,Wilshire Blvd,Rampart Blvd.,Valencia St.,Wilshire Blvd & Rampart Blvd.,Wilshire Blvd & Valencia St.,0.9,C,1,"PED, TEN",0.0154937502922,17b3aba8-33c2-4e14-b302-6a4f0cb5de49,f70b55f2-8390-464e-9233-3c10d9d9af9c
8,8,Projects in planning,Temple St,Beverly Blvd.,Beaudry Ave.,Temple St & Beverly Blvd.,Temple St & Beaudry Ave.,2.3,C,"1 , 13","PED, BLN",0.0396495337774,d50e9bca-2c38-4eed-b833-eafdef6cfe3d,459bc6b8-d017-4a56-9e69-05e78923cbeb
9,9,Projects in planning,Fletcher Dr,I-5,San Fernando Rd.,Fletcher Dr & I-5,Fletcher Dr & San Fernando Rd.,0.8,C,13,BEN,0.013944092971,05a59e02-8f83-452c-a780-1d0a91183379,319e92b1-fb07-4ec8-abf3-a0cc57de1245
10,10,Projects in planning,6th St,Rampart Blvd.,Beaudry Ave.,6th St & Rampart Blvd.,6th St & Beaudry Ave.,1.4,C,1,"PED, NEN",0.0237122592003,36cecd23-5267-4e4f-b9d2-a06168a25878,0a942700-e38a-476e-a118-2ebdbec00e89
11,11,Projects in planning,Vernon Ave,Western Ave.,Central Ave.,Vernon Ave & Western Ave.,Vernon Ave & Central Ave.,3,C,"8 , 9","PED, TEN",0.0524414910502,a4394d3b-1920-4d65-b1cc-89ef6666cc2f,c3090a1a-8b94-42b8-ac76-5bad88b0c076
12,12,Projects in planning,Broadway,Martin Luther King Jr. Blvd.,Century Blvd.,Broadway & Martin Luther King Jr. Blvd.,Broadway & Century Blvd.,4.5,"C , S","8 , 9","TEN, BLN",0.0656005069978,43643693-55f9-41f9-9cd1-d104376df85f,1274e1bd-87be-4411-99f7-6a37e77f5765
13,13,Projects in progress,Anaheim St,Figueroa St.,Henry Ford Ave.,Anaheim St & Figueroa St.,Anaheim St & Henry Ford Ave.,2.2,S,15,"PED, BEN, TEN",0.0378278544219,da916e34-8a7e-4a7b-a264-655fa1b405c3,888f9670-9dcf-49c9-baf0-adb8358a8e09
14,14,Projects in planning,Venice Blvd,Arlington Ave.,Figueroa,Venice Blvd & Arlington Ave.,Venice Blvd & Figueroa,2.8,C,"1 , 9 , 10","PED, BLN, TEN",0.0490987020324,6065fa14-145c-43b3-a3d0-e9fa95d35948,3df7e902-b509-4a9c-a495-5b409a8bcc94
15,15,Projects in planning,Main St,Martin Luther King Jr. Blvd.,Imperial Hwy.,Main St & Martin Luther King Jr. Blvd.,Main St & Imperial Hwy.,5.5,"C , S","8 , 9","PED, BEN",0.0801227620143,300e5a60-16ae-4e9d-b7bb-31f28ae0d4ac,c10d41d1-7a0f-4e88-b5c3-c1c15bf3528a
16,16,Projects in planning,Hoover St,Vernon Ave.,Manchester Ave.,Hoover St & Vernon Ave.,Hoover St & Manchester Ave.,3,"C , S","8 , 9","PED, NEN",0.0437305038826,3ee55590-5ead-4256-bc86-0a994883a7ed,78e2a95c-46d0-4f7a-a9cd-df16d8e58553
17,17,Projects in planning,Central Ave,Jefferson Blvd.,I-10,Central Ave & Jefferson Blvd.,Central Ave & I-10,1.4,C,"9 , 14","BEN, TEN",0.0174059072898,3e99756e-8264-448b-89ad-d4974549950a,13564f8f-372c-41c8-b5c0-f08d68e56c3d
18,18,Other,Sepulveda Blvd,Nordhoff St.,Rinaldi St.,Sepulveda Blvd & Nordhoff St.,Sepulveda Blvd & Rinaldi St.,3,EV,7,"PED, BLN, TEN",0.0438846052,6cad6708-23fd-4083-9762-e51e9ae6abd9,c9ffadb2-381e-4aab-9def-cb76051125bd
19,19,Other,Pico Blvd,Robertson Blvd.,La Cienega Blvd.,Pico Blvd & Robertson Blvd.,Pico Blvd & La Cienega Blvd.,0.4,W,5,"PED, BLN, TEN",0.00770987122207,26bf3f7a-b2d5-4996-8e22-e4c620c2d080,761a04a5-8486-405c-9889-21936623f9e6
20,20,Other,Manchester Ave,Western Ave.,Vermont Ave.,Manchester Ave & Western Ave.,Manchester Ave & Vermont Ave.,1,"C , S",8,"PED, BEN",0.0173075777144,87a1b7c0-7bf2-4071-91f6-5e1d3e0a2ed4,34bfe9d4-6dfa-4593-b838-566743b10733
21,21,Other,Roscoe Blvd.,I-405,Woodman Ave.,Roscoe Blvd. & I-405,Roscoe Blvd. & Woodman Ave.,2.3,EV,6,"PED, BEN, TEN",0.0399084978769,2825ed53-543b-4d35-8a84-f5db4e7c911a,59685a6f-c299-4168-ac89-f55357d1dc07
22,22,Other,Figueroa St.,Martin Luther King Jr. Blvd.,Imperial Hwy.,Figueroa St. & Martin Luther King Jr. Blvd.,Figueroa St. & Imperial Hwy.,5.5,"C , S","8 , 9","PED, TEN",0.0801653658147,9afffa89-6e62-4dbb-ac99-0a4827791193,6b64bfcb-11e0-4a4a-a215-e2719a1846c0
23,23,Other,Florence Ave.,Crenshaw Blvd.,Central Ave.,Florence Ave. & Crenshaw Blvd.,Florence Ave. & Central Ave.,4.3,S,8,"PED, BLN, TEN",0.074451268228,2b7d6aa2-9113-4d81-979a-388d330118b6,e0890691-7c02-4f68-87cc-b192f672a729
24,24,Other,N. Broadway,Mission Rd.,N. Spring St.,N. Broadway & Mission Rd.,N. Broadway & N. Spring St.,1.5,C,1,"PED, BLN, TEN",0.0263458964103,98e75838-18be-40f1-97fb-6951dbc43f3b,273003a1-b7d8-49fe-b5e6-468649a670a7
25,25,Other,Reseda Blvd.,Parthenia St.,Victory Blvd.,Reseda Blvd. & Parthenia St.,Reseda Blvd. & Victory Blvd.,2.9,WV,"3 , 12","PED, BEN, TEN",0.0417007502367,6a5de120-e667-476c-b739-7bee1c7ddf41,a703edb9-526b-4e34-a55a-1b47b23ddcf7
26,26,Projects in planning,Alvarado St.,6th St.,7th St.,Alvarado St. & 6th St.,Alvarado St. & 7th St.,0.2,C,1,"PED, BLN, TEN",0.00363054723732,02f96ac1-96cc-4e15-8f55-578adfba3c95,9622b008-cd09-41ee-bb7b-f872c865b802
